"Sex","model","round","age","incidence","lb","ub","irr","year","py","newinf","newinf.lb","newinf.ub"
"Male","tensorproductgam",8,23,0.0143816229644929,0.0111776043471153,0.0185040615743576,1.00018359433647,2001,1,1.66992947454515,1.29789322110142,2.1486085331335
"Male","tensorproductgam",8,20,0.00812324623460105,0.00598117945675175,0.0110324610497135,0.992589249206691,2001,1,0.672488648827079,0.495156145104939,0.913330041991959
"Male","tensorproductgam",8,49,0.00358253445833167,0.00154809304315491,0.00829055669611291,1.06832896590306,2001,1,0.0957442237005958,0.0413732145097592,0.221567419419814
"Female","tensorproductgam",8,20,0.0161886988777398,0.0126130705114226,0.0207779676738344,1.11222511758615,2001,1,2.4860646871142,1.9369629042669,3.19082911443543
"Male","tensorproductgam",8,42,0.00795012599225647,0.00514638101796373,0.0122813493738868,1.04954228838968,2001,1,0.293526566349027,0.190009510641472,0.453439645530271
"Female","tensorproductgam",8,15,0.0093817488210054,0.0049237728949092,0.0178759688594572,1.37675038262136,2001,1,0.0560464775562869,0.0294145720922433,0.106790866670323
"Male","tensorproductgam",8,33,0.0138151995540661,0.0106542833951391,0.0179138973162423,1.02587666144067,2001,1,1.05648261594227,0.81475950805025,1.3699202117435
"Male","tensorproductgam",8,24,0.0162752644115659,0.0127989689735845,0.0206957476194428,1.0027265061142,2001,1,1.69065323479969,1.32954019978405,2.14984726359002
"Female","tensorproductgam",8,21,0.0172112217294704,0.0136515880813413,0.0216990251724537,1.07758927050247,2001,1,3.64431442779675,2.89059546086628,4.5945646246422
"Female","tensorproductgam",8,16,0.0106471264377603,0.00632611797965117,0.0179195680109504,1.31395282508581,2001,1,0.634425899497374,0.376951763748468,1.06776585404606
"Female","tensorproductgam",9,36,0.0106492116918269,0.00780481974320779,0.0145302150963877,1.20411298425589,2003,1,0.422386685034413,0.309567697030082,0.576321474772685
"Female","tensorproductgam",9,27,0.0161110416296354,0.0130610536020392,0.0198732560404865,1.05156216691098,2003,1,2.34274917098329,1.89924234582456,2.88982271810082
"Female","tensorproductgam",9,37,0.00994356207481835,0.00718328291844922,0.013764517959027,1.17870868476014,2003,1,0.749457814516299,0.541412370798878,1.03744769427923
"Male","tensorproductgam",9,43,0.00761757252922887,0.0050824273756762,0.0114172632383836,1.10457702568703,2003,1,0.308479675494035,0.205816950420202,0.462351181467921
"Female","tensorproductgam",9,28,0.0152761992954753,0.0123010382894493,0.0189709404542897,1.07860027622212,2003,1,1.93002611317618,1.55413821583549,2.39682723170117
"Female","tensorproductgam",9,38,0.00920033546435528,0.00652461628790534,0.0129733564276541,1.14476411102626,2003,1,0.5678392799285,0.402695470082357,0.800707909040481
"Male","tensorproductgam",9,34,0.0132667818916641,0.0104818662844996,0.0167916186854303,1.05534980828461,2003,1,0.843917047648857,0.666764986482753,1.06813644650008
"Male","tensorproductgam",9,44,0.00687876784010747,0.00446183604060078,0.0106049273365333,1.11018655107631,2003,1,0.182515252873381,0.118386483184042,0.281381933439545
"Female","tensorproductgam",9,29,0.0144942279233292,0.0115270353339483,0.0182252102997118,1.1103980987861,2003,1,1.8736027558888,1.49004729904595,2.35588983592785
"Female","tensorproductgam",9,40,0.0077880257247761,0.00531537029371157,0.0114109349562214,1.05616554167439,2003,1,0.566708138844898,0.386781414555143,0.830334919278448
"Male","tensorproductgam",9,35,0.0124801173733387,0.00973452577986822,0.0160000942187055,1.0607098298532,2003,1,0.763328989530512,0.595398705382344,0.978623468594044
"Female","tensorproductgam",9,33,0.0123030307106882,0.00924129415171242,0.0163791523333439,1.21942727196557,2003,1,0.929778439314539,0.69839344919794,1.23782367547546
"Female","tensorproductgam",9,31,0.0132417704022971,0.0101901516102014,0.0172072497146767,1.17582447345117,2003,1,1.43167665663524,1.10174106215953,1.8604172246577
"Female","tensorproductgam",9,41,0.00718889360923074,0.00482367784344202,0.0107138563150729,1.00411051559536,2003,1,0.43549262738105,0.292211326508296,0.649029696314205
"Female","tensorproductgam",9,24,0.0181437952918852,0.0147802804574301,0.0222727375533897,1.02610046020736,2003,1,2.79042097423894,2.2731299560017,3.42543073391566
"Female","tensorproductgam",9,39,0.00846755461343214,0.00588811980633082,0.0121769738880594,1.10348728509237,2003,1,0.506387775757327,0.352129041764984,0.728223318790039
"Female","tensorproductgam",9,22,0.0184097426910972,0.0150425398454642,0.0225306782919775,1.08091336644391,2003,1,4.13900572254447,3.38196788226098,5.06550297568257
